title,price,area,price_per_m2,location,description,bedroom,bathroom
"Shophosue khối đế tòa Sun Ponte, Sun Cosmo ngay cầu Rồng, sát sông Hàn, sở hữu lâu dài CK 15%","8,5 tỷ",100 m²,85 tr/m²,"Sơn Trà, Đà Nẵng","Sun Group ra mắt Shophouse khối đế 2 tầng cao 11,5m sở hữu lâu dài tổ hợp 1,5ha và 3ha ngay đầu cầu Rồng, và cầu Trần Thị Lý. Vị trí đẹp nhất thành phố Đà Nẵng. Có thể ngắm Cầu Rồng phun lửa mỗi đêm tại chính căn hộ tại Sun Ponte. Bao gồm: 2 toà tháp đôi căn hộ cao cấp The Ponte kết nối với nhau bằng cây cầu trên cao cùng 16 căn shophouse - Villa view trực diện sông Hàn. - Chiết khấu lên đến 15 - 2% trong tháng 4/2025. + KH đặt chỗ sớm được tặng ...",,
"Chủ nhà gửi bán căn 2n1vs. Tại vinhome smart city.E còn quỹ căn Stuido - 1PN, 2PN, 3PN ib em tư vấn","3,5 tỷ",55 m²,"63,64 tr/m²","Nam Từ Liêm, Hà Nội","Bán căn hộ siêu xinh tại Tòa I5 - Imperia Smart City Thiết kế: 2 phòng ngủ, 1 vệ sinh Diện tích: 55m² gọn gàng xinh xắn Tầng: Nằm trong khoảng mát mẻ từ tầng 05 - 10 Ban công: Hướng Đông Bắc - đón gió mát lành Cửa chính: Tây Nam - hợp phong thủy ai cần Tình trạng: Full đồ, chỉ việc xách vali về ở Giá: 3,x tỷ thu về ( x nhỏ xinh đi học trung học ) LH E Dũng : 0868 998 ***Ngoài ra em còn update thêm quỹ căn tại Vinhome Smart City 1. Căn studio 30m...",2,1
"Chính chủ bán căn góc 2PN - Peninsula Đà Nẵng - view trực diện sông Hàn, pháo hoa Diff",Giá thỏa thuận,93 m²,,"Sơn Trà, Đà Nẵng","Chính chủ bán căn góc 2PN Peninsula Đà Nẵng view trực diện sông Hàn, thưởng thức pháo hoa diff đẳng cấp.Thông tin chi tiết: Vị trí: Dự án Peninsula, trung tâm Đà Nẵng, sát sông Hàn, gần biển Mỹ Khê. Diện tích: 93m Thiết kế căn góc, không gian rộng rãi, thoáng mát. Kết cấu: 2 phòng ngủ, 2WC, phòng khách, bếp, logia lớn. Ban công Đông Nam + Tây Nam, đón gió và ánh sáng tự nhiên cả ngày. View trực diện sông Hàn, tận hưởng cảnh quan thành phố lung li...",2,2
Cần bán gấp đất mặt tiền đường mặt tiền sông Nguyễn văn tạo nhà bè,23 tỷ,945 m²,"24,34 tr/m²","Nhà Bè, Hồ Chí Minh","Cần bán gấp đất vị trí đẹp 13x75, giá 23 tỷ 14x38, giá 23.3 tỷ 6,33x47, giá 15,5 tỷ Xung quanh nhà kinh doanh đông đúc, mua bán nhanh trong ngày. Nhận ký gửi nhà đất, thiết kế thi công xây dựng kho bãi nhà xưởng vvvvv.",,
"Bảng Hàng Quỹ Căn Đẹp The Cosmopolitan(M1,M2,M3), Tặng 500 triệu - Chiết Khấu 16% Imperia Cổ Loa.",Giá thỏa thuận,60 m²,,"Đông Anh, Hà Nội",* Chính thức mở bán siêu phẩm cuối cùng dòng Imperia Signature Cổ Loa - Chung cư hạng sang chỉ từ 89triệu/m view hồ - khu triển lãm lớn top 10 thế giới. Mr Mạnh: 0912 906 *** ---------------------- - Quà tặng dành riêng cho khách hàng booking sớm 500 triệu view hồ đẹp số lượng hữu hạn. - Giá chỉ từ 89 triệu. - Quà tặng thẻ thành viên kim cương cho khách hàng VIP của MIK các dự án sau các thành viên sẽ đc ck 2 - 5% thành viên VIP. - View trọn hơn ...,,
SIÊU PHẨM 1N 43m PR3 VIEW HỒ SAN HÔ THE PARIS VINHOMES OCEAN PARK HN GIÁ TRỰC TIẾP CĐT LH0937 595 ***,"3,09 tỷ",43 m²,"71,79 tr/m²","Gia Lâm, Hà Nội","Siêu phẩm Pr3 1N-43m² view Hồ san hô giá Trực tiếp CĐT The Paris Vinhhomes Ocean Park HN LH 0937 595 *** Diện tích rộng: 43m² Hướng Tây Nam, tầng đẹp, view Hồ cực đẹp Thiết kế 2 ban công nối dài tạo không gian mở vô cùng thoáng cho căn hộ Nhận nhà quý II/2027, sẵn đầy đủ nội thất liền tường Giá thanh toán tiến độ 2 năm: 3tỷHệ tiện ích trong tòa đẳng cấp: 1. Sảnh lễ tân, bảo vệ 24/7 đẳng cấp như khách sạn 5 sao. 2. Tầng 2 là tiện ích đặc quyền dành ...",1,1
"Quỹ căn hộ bán toà R và S Goldmark City 2 đến 4 phòng ngủ giá từ 5 đến 10 tỷ, hỗ trợ vay bank 80%","5,9 tỷ",94 m²,"62,77 tr/m²","Bắc Từ Liêm, Hà Nội","Bảng giá bán các căn hộ tại Goldmark City khu S & khu R. Sở hữu căn hộ cao cấp tại trung tâm mới phía Tây Hà Nội giá tốt hỗ trợ tận tâm.Em xin gửi tới quý khách hàng bảng giá cập nhật các căn hộ đẹp, giá tốt tại khu S và khu R Goldmark City, một trong những khu đô thị đáng sống bậc nhất Hà Nội:Căn hộ 2 phòng ngủ: 68m (có ban công phòng khách): Từ 4,8 tỷ đến 5 tỷ (tùy nội thất). 78m: Từ 5 Tỷ đến 5,3 Tỷ. 86m: Giá 5,6 tỷ.Căn hộ 3 phòng ngủ: Diện tíc...",3,2
Tổng hợp Liền kề - Biệt thự - Shophouse đẹp nhất Vinhomes Đan Phượng DT 96m-136m-228m LH 0931 368 ***,"16,8 tỷ",96 m²,175 tr/m²,"Đan Phượng, Hà Nội","Hiện tại bên em đang nắm giữ quỹ căn Vip nhất vị trí hoa hậu phân khu Hừng Đông, Đại Lộ Ban Mai, Thái Dương, Bình Minh. * Diện tích từ 96m², 120m², 136m², 228m². * Liên hệ PKD: 0931 368 ***. I. Liền kề - Shophouse khu Hừng Đông khu mở: - Liền kề Hừng Đông 42 - DT 88m²: Giá 15.x - Liền kề Hừng Đông 40 - DT 96m²: Giá 15.x - Liền kề Hừng Đông 25 - DT 118m² xẻ khe: Giá 19 tỷ (Giãn xây 2 năm). - Shophouse ĐL Hừng Đông - DT 128m²: Giá 2x tỷ. - Shophouse ...",,
"Kẹt tiền Cần bán lô gấp đất mặt tiền Rừng Sác, thổ cư Liên hệ: 0901 002 ***",Giá thỏa thuận,803 m²,,"Cần Giờ, Hồ Chí Minh","Chủ đất đang kẹt tiền xoay sở cần bán gấp lô đất mặt tiền đường Rừng Sát, tuyến đường xuyên tâm kết nối thẳng Vinhomes Cần Giờ và Biển. Vị trí đất thuộc trung tâm xã Bình Khánh, Cần Giờ, TPHCM - Diện tích đất: 803m² có sẵn 300m² thổ cư - Khu dân cư hiện hữu, gần trường học, gần trung tâm hành chính - Giá bán thương lượng mạnh. Do chủ đất cần tiền trong giai đoạn này Liên hệ: 0901 002 *** Mr Sinh xem đất thực tế (nguồn độc quyền)",,
"Biệt thự song lập San Hô - VHOCP1 (Gia Lâm), giá tốt nhất thị trường","22,7 tỷ",113 m²,"200,88 tr/m²","Gia Lâm, Hà Nội","Bán biệt thự song lập San Hô, phân khu VIP nhất nhì Vinhomes Ocean Park 1 - Hướng Tây Bắc, căn thô. - Vị trí vô cùng đẹp, 2 bước chân ra đến biển hồ trải cát trắng, ngay sát Đại học Vinuni - Ngay sát dãy phố ẩm thực SH06 - 80.000 cư dân Ocean City hiện hữu, hàng xóm đã về ở đông vui - Sẵn sổ đỏ, pháp lý minh bạch rõ ràng - Giá: 22.x tỷ LH: 0962 334 ***",,
"Bán đất nền khu đô thị DIC Victory City, trung tâm TP Vị Thanh, Hậu Giang, giá chỉ từ 10,5 triệu/m2","997,5 triệu",95 m²,"10,5 tr/m²","Vị Thanh, Hậu Giang","Bán đất nền trung tâm TP Vị Thanh, Hậu Giang Cơ hội đầu tư sinh lời cao.- Thông tin chi tiết: Đất nền liền kề: Diện tích 87,5m², 95m², 100m², sổ đỏ riêng từng nền. Đất biệt thự: Diện tích từ 379m², 420m², giá chỉ từ 3,9 tỷ. Shophouse: Diện tích từ 100m², giá chỉ từ 4,7 tỷ. Mặt tiền rộng, thích hợp xây dựng nhà ở, kinh doanh hoặc đầu tư. Pháp lý an toàn, không bắt buộc thời gian xây dựng, phù hợp đầu tư dài hạn.- Vị trí vàng tiện ích đỉnh cao: Mặt...",,
Biệt thự liền kề San Hô xẻ khe 98m2 giá tốt nhất vinhomes oceanpark 2 sắn sổ đỏ giao dịch,13 tỷ,98 m²,"132,65 tr/m²","Văn Giang, Hưng Yên","San Hô là một phân khu trung tâm của dự án vinhomes oceanpark 2, với nhiều tiện ích lớn như : Khu phố ẩm thực Hong kong, Hàn Quốc, công viên nước... Từ phân khu san hô chỉ mất 5 phút di truyển đến các đại tiện ích lớn của dự án, Bênh viện vinmex 5 sao, Quảng trường kinh đô ánh sáng, granword ..... Diện tích đất : 98m² Xây dựng : 5 tầng Mặt tiền : 7m Diện tích xây dựng : 285m² Hướng nhà : Tây Bắc Vỉa hè rộng : 3m Đường trước nhà : 13m Anh/chị quan...",,
