link,title,price,area,location,posted_date
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/shop-bien-2-ngay-dau-hoi-nga-3-sat-mat-song-venice-duong-20m-kinh-doanh-2-mat-tien-chung-cu-pr40431958,"Shop Phố Biển 2 mặt tiền ngã 3 sát mặt sông Venice đường 20m, sát chung cư. Rẻ hơn 2,5tỷ0978 998 ***","13,01 tỷ",100 m²,"Văn Giang, Hưng Yên",
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/ban-gap-don-lap-dao-dua-180m2-gia-24-3-ty-re-hon-ca-song-lap-view-truc-dien-song-ma-chi-135tr-m2-pr41992403,"Bán gấp đơn lập Đảo Dừa 180m2 giá 24,3 tỷ rẻ hơn cả song lập. View trực diện sông. Mà chỉ 135tr/m2","24,3 tỷ",180 m²,"Văn Giang, Hưng Yên",
https://batdongsan.com.vn/ban-dat-duong-nguyen-du-phuong-di-an/b-nen-gia-tot-tai-binh-3-5-ty-96m2-pr42869737,"Bán đất nền giá tốt tại Nguyễn Du, Dĩ An, Bình Dương, 3,85 ty","3,85 tỷ",96 m²,"Dĩ An, Bình Dương",
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-long-phuong-chanh-my/ban-nr-dep-xuat-sac-3-9-ty-76-7m2-tai-thu-dau-mot-binh-duong-pr42599176,"Bán NR đẹp xuất sắc 3tỷ5, 76,7m2 tại Nguyễn Văn Lộng, Chánh Mỹ, Thủ Dầu Một, Bình Dương","3,5 tỷ","76,7 m²","Thủ Dầu Một, Bình Dương",
https://batdongsan.com.vn/ban-dat-duong-phu-my-toc-tien-xa-toc-tien/mat-rong-37m-6-lan-xe-via-he-14m-dai-phan-cach-rong-2m-pr42869723,"Mặt tiền đường Phú Mỹ-Tóc Tiên, rộng 37m (6 làn xe),vỉa hè 14m,dải phân cách rộng 2m.","86,25 tỷ",5.750 m²,"Phú Mỹ, Bà Rịa Vũng Tàu",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/ban-cao-cap-2pn-tai-dt-70m2-2pn-2wc-view-tang-mat-gia-tot-6-x-ty-pr42868453,"Bán căn hộ cao cấp 2PN tại Masteri Thảo Điền DT 70m2 - 2pn - 2wc, view thoáng mát. Giá tốt 6,x tỷ",6 tỷ,70 m²,"Quận 2, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-trung-son-8-prj-sun-group-sam-son/chiet-khau-len-den-15-5-khi-mua-tai-du-an-pathway-mat-bien-son-pr42867693,"Chiết khấu lến đến 15,5 % khi mua căn hộ tại dự án Sun Pathway mặt biển Sầm Sơn","1,3 tỷ",26 m²,"Sầm Sơn, Thanh Hóa",
https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-quoi-phuong-binh-tri-dong-a/ban-ngop-bank-hem-xe-tai-10x11m-gia-5-55-ty-pr42869697,"Bán nhà ngợp bank hẻm xe tải Lê Văn Quới 10x11m Giá 5,55 tỷ","5,5 tỷ",110 m²,"Bình Tân, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-loc-tho-prj-nha-trang-center/ban-view-bien-gia-1-827-trieu-43-3m2-tai-t-pr42869670,"Bán căn hộ view biển giá 1,827 triệu, 43,3m2 tại Nha Trang Center, Lộc Thọ, Nha Trang","1,83 triệu","43,3 m²","Nha Trang, Khánh Hòa",
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-cong-phuong-3-20/ban-dep-p3-go-vap-42m2-hem-4m-thong-3-tang-btct-nhinh-4ty-tl-pr42869638,"Bán nhà đẹp NGUYỄN VĂN CÔNG P3 GÒ VẤP, 42m2, Hẻm 4m thông, 3 tầng BTCT, Nhỉnh 4tỷ TL","4,55 tỷ",42 m²,"Gò Vấp, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-xa-binh-thanh-12/sap-mo-ban-17-lo-nen-duc-trong-gia-fo-nhanh-tay-so-huu-vi-tri-dep-voi-gia-chi-850tr-pr42804426,Sắp mở bán 17 lô đất nền Đức Trọng - giá fo - nhanh tay sở hữu vị trí đẹp với giá chỉ 850tr,850 triệu,150 m²,"Đức Trọng, Lâm Đồng",
https://batdongsan.com.vn/ban-nha-rieng-phuong-xuan-la/ban-xay-moi-thang-may-11-ty-41m2-3pn-5wc-tai-tay-ho-ha-noi-gia-uu-dai-hang-hiem-pr42868799,"Bán nhà xây mới thang máy 11 tỷ, 41m2, 3PN + 5WC tại Xuân La, Tây Hồ, Hà Nội - giá ưu đãi hàng hiếm",11 tỷ,41 m²,"Tây Hồ, Hà Nội",
https://batdongsan.com.vn/ban-dat-duong-nguyen-dinh-chieu-phuong-ham-tien/ban-mat-bien-trung-tam-thu-phu-resort-khu-du-lich-quoc-gia-mui-ne-pr41859118,BÁN ĐẤT MẶT TIỀN BIỂN TRUNG TÂM THỦ PHỦ RESORT KHU DU LỊCH QUỐC GIA MŨI NÉ,16 tỷ,950 m²,"Phan Thiết, Bình Thuận",
https://batdongsan.com.vn/ban-dat-duong-so-16-phuong-binh-hung-hoa/ban-lo-hem-xe-tai-16-gia-5-6-ty-pr42869583,"bán lô đất hẽm xe tải đường số 16, giá 5,6 tỷ","5,6 tỷ",97 m²,"Bình Tân, Hồ Chí Minh",
https://batdongsan.com.vn/ban-nha-rieng-duong-phan-dinh-giot-phuong-la-khe/chinh-chu-can-ban-ha-dong-37m2-4-tang-o-to-do-quay-dau-tang-full-do-gia-6-x-pr41725292,"Chính chủ cần bán nhà riêng La Khê Hà Đông 33m2, 4 tầng, ô tô đỗ quay đầu, tặng full đồ, slot ô tô","6,7 tỷ",33 m²,"Hà Đông, Hà Nội",
https://batdongsan.com.vn/ban-condotel-duong-hoang-quoc-viet-phuong-hung-thang-1-prj-icon40-ha-long/studio-view-bien-gia-chi-1-4ty-chuan-bi-ban-giao-lh-tu-van-pr42869558,"Studio View biển giá chỉ 1,4tỷ. Chuẩn bị bàn giao LH tư vấn0976 383 ***","1,4 tỷ","33,3 m²","Hạ Long, Quảng Ninh",
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-cuu-dam-phuong-tan-son-nhi/-moi-100-xe-hoi-ngu-trong-phu-pr42869564,"Nhà mới 100%, xe hơi ngủ trong nhà Nguyễn Cửu Đàm Tân Sơn Nhì Tân Phú","6,75 tỷ",60 m²,"Tân Phú, Hồ Chí Minh",
https://batdongsan.com.vn/ban-dat-duong-quang-tien-phuong-dai-mo/chinh-chu-ban-nhanh-manh-52m2-ngo-82-san-c4-dang-cho-thue-chi-145tr-m2-co-tl-pr42700353,"Siêu hiếm, hơn 6 tỷ có ngay 52m2 đất ngõ rộng thoáng ô tô vào, sẵn cấp 4 cho thuê, đầu tư xây ccmn","6,7 tỷ",52 m²,"Nam Từ Liêm, Hà Nội",
https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-49-phuong-tan-tao/ban-chinh-chu-20m-kdc-ten-lua-51-49-p-q-binh-dt-81m2-11-ty-pr42442134,"Chính chủ bán nhà siêu đẹp siêu rẻ, mặt tiền kinh doanh đường rộng 20m, KDC Tên Lửa, DT 81m2, 11 tỷ",11 tỷ,81 m²,"Bình Tân, Hồ Chí Minh",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-dinh-chieu-phuong-da-kao-prj-the-marq/ban-2pn-gia-14-9-ty-view-landmark-81-co-so-ng-tang-kem-c-u-xe-oto-tai-marq-pr42869549,"Bán căn hộ 2PN, giá 14,9 tỷ View Landmark 81, đã có sổ hồng, tặng kèm chỗ đậu xe oto tại The Marq","14,9 tỷ",77 m²,"Quận 1, Hồ Chí Minh",
